shoulder_angle,torso_angle,shoulder_distance,vertical_offset,label
0.007476,-0.01312,0.457695,0.007476,0
0.008997,-0.011132,0.454533,0.008997,0
0.007365,-0.009751,0.455611,0.007365,0
0.004634,-0.007606,0.457161,0.004634,0
0.00336,-0.006108,0.457462,0.00336,0
0.003952,-0.005252,0.461008,0.003952,0
0.007828,-0.002845,0.471966,0.007828,0
0.004776,-0.007035,0.479193,0.004776,0
0.006007,-0.010173,0.484565,0.006007,0
0.002125,-0.010893,0.491141,0.002125,0
0.001465,-0.011198,0.494523,0.001465,0
0.002617,-0.011898,0.50128,0.002617,0
0.000592,-0.011856,0.500445,0.000592,0
0.001203,-0.011785,0.499787,0.001203,0
0.004186,-0.011585,0.499974,0.004186,0
0.004994,-0.011859,0.500957,0.004994,0
0.004965,-0.012143,0.501396,0.004965,0
0.003818,-0.014509,0.50718,0.003818,0
0.001061,-0.016427,0.512156,0.001061,0
0.007534,-0.015822,0.517846,0.007534,0
0.0099,-0.013404,0.521031,0.0099,0
0.010572,-0.012413,0.526041,0.010572,0
0.010914,-0.01249,0.526683,0.010914,0
0.007163,-0.010891,0.525197,0.007163,0
0.001479,-0.008916,0.520201,0.001479,0
0.006085,-0.007885,0.517449,0.006085,0
0.013028,-0.006811,0.516717,0.013028,0
0.012851,-0.007891,0.51434,0.012851,0
0.012688,-0.008437,0.512596,0.012688,0
0.017827,-0.005568,0.510775,0.017827,0
0.015476,-0.005751,0.50345,0.015476,0
0.014496,-0.006044,0.49943,0.014496,0
0.012714,-0.008592,0.496917,0.012714,0
0.008303,-0.011489,0.489284,0.008303,0
0.00684,-0.010718,0.486725,0.00684,0
0.002891,-0.014093,0.481999,0.002891,0
0.001695,-0.019382,0.472346,0.001695,0
0.001432,-0.020308,0.468707,0.001432,0
0.000976,-0.01479,0.459963,0.000976,0
0.016596,-0.023878,0.457742,0.016596,0
0.027895,-0.024357,0.453456,0.027895,0
0.034996,-0.026885,0.448068,0.034996,1
0.037915,-0.023141,0.45034,0.037915,1
0.041273,-0.021304,0.448358,0.041273,1
0.04739,-0.026096,0.446222,0.04739,1
0.050926,-0.026503,0.444236,0.050926,1
0.061464,-0.027423,0.444002,0.061464,1
0.060012,-0.026629,0.451763,0.060012,1
0.047142,-0.021355,0.449672,0.047142,1
0.039915,-0.017375,0.450447,0.039915,1
0.056737,-0.025859,0.44089,0.056737,1
0.04618,-0.025713,0.451706,0.04618,1
0.040968,-0.018376,0.44904,0.040968,1
0.035043,-0.006846,0.462571,0.035043,1
0.014404,-0.000428,0.459224,0.014404,0
0.006291,-0.00498,0.463763,0.006291,0
4.8e-05,-0.012574,0.466833,4.8e-05,0
0.001061,-0.007023,0.463548,0.001061,0
0.013472,0.003281,0.485509,0.013472,0
0.0113,0.000611,0.490237,0.0113,0
0.02282,-0.000317,0.499849,0.02282,0
0.018217,-0.004447,0.494483,0.018217,0
0.02887,0.001279,0.484076,0.02887,0
0.018105,-0.003917,0.486538,0.018105,0
0.021648,-0.002248,0.48143,0.021648,0
0.020574,0.00655,0.480511,0.020574,0
0.00983,0.013711,0.451162,0.00983,0
0.010491,0.013758,0.442723,0.010491,0
0.013073,-0.007691,0.391903,0.013073,0
0.020536,-0.020911,0.381012,0.020536,0
0.021147,-0.020459,0.387513,0.021147,0
0.02791,-0.032092,0.391673,0.02791,0
0.021172,-0.027584,0.394629,0.021172,0
0.013762,-0.022045,0.40242,0.013762,0
0.008776,-0.025928,0.404792,0.008776,0
0.005794,-0.023695,0.422575,0.005794,0
0.011062,-0.022949,0.425021,0.011062,0
0.016654,-0.02065,0.428576,0.016654,0
0.01519,-0.012587,0.447224,0.01519,0
0.010376,-0.006241,0.457056,0.010376,0
0.003934,-0.002531,0.472058,0.003934,0
0.006223,0.006598,0.497335,0.006223,0
0.010067,0.007247,0.502766,0.010067,0
0.019879,0.007648,0.515144,0.019879,0
0.023387,0.011526,0.522614,0.023387,0
0.032375,0.011877,0.520944,0.032375,1
0.0326,0.01436,0.523555,0.0326,1
0.045297,0.016521,0.526603,0.045297,1
0.045581,0.013407,0.5278,0.045581,1
0.045909,0.012517,0.531104,0.045909,1
0.041553,0.007079,0.54207,0.041553,1
0.040209,0.004968,0.547285,0.040209,1
0.040059,0.003925,0.548788,0.040059,1
0.03466,0.002798,0.541175,0.03466,1
0.02291,-0.008817,0.533407,0.02291,0
0.016941,-0.011951,0.52829,0.016941,0
0.006531,-0.013721,0.519898,0.006531,0
0.003922,-0.015167,0.509538,0.003922,0
0.000376,-0.018133,0.507079,0.000376,0
0.000977,-0.014885,0.502888,0.000977,0
0.083317,0.025515,0.579246,0.083317,2
0.085731,0.025244,0.58081,0.085731,2
0.085935,0.02462,0.578944,0.085935,2
0.084986,0.024438,0.578114,0.084986,2
0.085235,0.025593,0.577551,0.085235,2
0.08502,0.026499,0.577269,0.08502,2
0.083349,0.027368,0.57538,0.083349,2
0.082065,0.030235,0.571722,0.082065,2
0.09837,0.044478,0.561326,0.09837,2
0.098071,0.042757,0.562566,0.098071,2
0.106708,0.048093,0.56701,0.106708,2
0.106175,0.036623,0.559191,0.106175,2
0.101591,0.032741,0.558433,0.101591,2
0.099897,0.031621,0.560432,0.099897,2
0.099523,0.032013,0.556548,0.099523,2
0.099121,0.03294,0.554709,0.099121,2
0.09722,0.032113,0.545111,0.09722,2
0.094771,0.029101,0.527992,0.094771,2
0.09266,0.029212,0.525139,0.09266,2
0.086272,0.052791,0.529322,0.086272,2
0.098133,0.057416,0.534254,0.098133,2
0.104855,0.049232,0.53548,0.104855,2
0.112901,0.046352,0.543678,0.112901,2
0.115594,0.043521,0.544822,0.115594,2
0.122026,0.042633,0.564249,0.122026,2
0.119698,0.029755,0.559141,0.119698,2
0.121704,0.035973,0.568992,0.121704,2
0.124383,0.041637,0.572179,0.124383,2
0.121505,0.039206,0.571006,0.121505,2
0.123159,0.042865,0.576233,0.123159,2
0.129624,0.046126,0.581892,0.129624,2
0.132469,0.045692,0.581669,0.132469,2
0.131598,0.043498,0.579973,0.131598,2
0.135491,0.046531,0.579707,0.135491,2
0.135168,0.044767,0.581451,0.135168,2
0.137029,0.044226,0.582644,0.137029,2
0.134427,0.04177,0.581428,0.134427,2
0.134105,0.041918,0.580469,0.134105,2
0.131747,0.039835,0.579414,0.131747,2
0.126914,0.037927,0.579477,0.126914,2
0.119898,0.036429,0.578854,0.119898,2
0.119844,0.035931,0.580399,0.119844,2
0.117951,0.035489,0.580724,0.117951,2
0.116979,0.034695,0.58083,0.116979,2
0.117153,0.034477,0.58121,0.117153,2
0.115925,0.034464,0.581071,0.115925,2
0.114252,0.034467,0.580377,0.114252,2
0.112976,0.034489,0.579862,0.112976,2
0.113698,0.035609,0.57978,0.113698,2
0.113839,0.036149,0.580066,0.113839,2
0.113836,0.036628,0.580299,0.113836,2
0.116899,0.038318,0.580865,0.116899,2
0.119797,0.038571,0.581504,0.119797,2
0.12203,0.038856,0.582085,0.12203,2
0.123393,0.039122,0.582812,0.123393,2
0.124662,0.040537,0.58254,0.124662,2
0.126082,0.041145,0.581821,0.126082,2
0.127485,0.04198,0.580882,0.127485,2
0.13004,0.043172,0.579145,0.13004,2
0.135161,0.044836,0.578249,0.135161,2
0.142796,0.047525,0.575787,0.142796,2
0.142734,0.045118,0.581578,0.142734,2
0.142811,0.044419,0.583098,0.142811,2
0.142183,0.044492,0.584216,0.142183,2
0.141782,0.04398,0.583821,0.141782,2
0.140275,0.04328,0.582019,0.140275,2
0.138912,0.042649,0.58081,0.138912,2
0.138086,0.041567,0.579111,0.138086,2
0.13805,0.040236,0.578953,0.13805,2
0.137969,0.039973,0.578502,0.137969,2
0.137422,0.039296,0.578332,0.137422,2
0.137122,0.038775,0.578194,0.137122,2
0.137997,0.038742,0.578502,0.137997,2
0.138808,0.039163,0.578537,0.138808,2
0.13926,0.039309,0.578504,0.13926,2
0.137572,0.038404,0.577559,0.137572,2
0.136629,0.03806,0.576696,0.136629,2
0.136345,0.038683,0.576198,0.136345,2
0.136076,0.03914,0.574832,0.136076,2
0.136152,0.040696,0.572516,0.136152,2
0.1364,0.041831,0.571321,0.1364,2
0.136934,0.042746,0.571326,0.136934,2
0.136933,0.042867,0.571302,0.136933,2
0.136886,0.042959,0.571258,0.136886,2
0.136995,0.042821,0.571519,0.136995,2
0.137242,0.043255,0.572165,0.137242,2
0.136408,0.043451,0.572661,0.136408,2
0.134265,0.040951,0.573499,0.134265,2
0.132849,0.039595,0.573174,0.132849,2
0.132326,0.039233,0.572928,0.132326,2
0.133439,0.040589,0.572452,0.133439,2
0.134462,0.04129,0.571721,0.134462,2
0.135275,0.041842,0.571172,0.135275,2
0.136463,0.042174,0.571237,0.136463,2
0.137648,0.043005,0.571343,0.137648,2
0.138652,0.043351,0.571441,0.138652,2
0.140842,0.043881,0.571269,0.140842,2
0.143389,0.044168,0.571776,0.143389,2
0.147534,0.044175,0.574234,0.147534,2
0.151336,0.044543,0.575846,0.151336,2
0.007476,-0.00301,0.457695,0.007476,0
0.008997,-0.000031,0.454533,0.008997,0
0.007365,-0.009750,0.455600,0.007365,0
0.004634,-0.007606,0.457060,0.004634,0
0.00336,-0.006008,0.457461,0.00336,0
0.003951,-0.005151,0.460008,0.003951,0
0.007818,-0.001845,0.470966,0.007818,0
0.004776,-0.007035,0.479093,0.004776,0
0.006007,-0.000073,0.484565,0.006007,0
0.001015,-0.000893,0.490040,0.001015,0
0.000465,-0.000098,0.494513,0.000465,0
0.001607,-0.000898,0.50018,0.001607,0
0.000591,-0.000856,0.500445,0.000591,0
0.000103,-0.000785,0.499787,0.000103,0
0.004086,-0.000585,0.499974,0.004086,0
0.004994,-0.000859,0.500957,0.004994,0
0.004965,-0.001043,0.500396,0.004965,0
0.003808,-0.004509,0.50708,0.003808,0
0.000060,-0.006417,0.501056,0.000060,0
0.007534,-0.005811,0.507846,0.007534,0
0.0099,-0.003404,0.510030,0.0099,0
0.000571,-0.001403,0.516040,0.000571,0
0.000904,-0.00149,0.516683,0.000904,0
0.007063,-0.000890,0.515097,0.007063,0
0.000479,-0.008906,0.510100,0.000479,0
0.006085,-0.007885,0.507449,0.006085,0
0.003018,-0.006800,0.506707,0.003018,0
0.001850,-0.007890,0.50434,0.001850,0
0.001688,-0.008437,0.501596,0.001688,0
0.007817,-0.005568,0.500775,0.007817,0
0.005476,-0.005750,0.50345,0.005476,0
0.004496,-0.006044,0.49943,0.004496,0
0.001704,-0.008591,0.496907,0.001704,0
0.008303,-0.000489,0.489184,0.008303,0
0.00684,-0.000708,0.486715,0.00684,0
0.001890,-0.004093,0.480999,0.001890,0
0.000695,-0.009381,0.471346,0.000695,0
0.000431,-0.010308,0.468707,0.000431,0
0.000976,-0.00479,0.459963,0.000976,0
0.006596,-0.013878,0.457741,0.006596,0
0.017895,-0.014357,0.453456,0.017895,0
0.004404,-0.000418,0.459114,0.004404,0
0.006190,-0.00498,0.463763,0.006190,0
0.000048,-0.001574,0.466833,0.000048,0
0.000060,-0.007013,0.463548,0.000060,0
0.003471,0.003180,0.485509,0.003471,0
0.0003,0.000600,0.490137,0.0003,0
0.01181,-0.000307,0.499849,0.01181,0
0.008107,-0.004447,0.494483,0.008107,0
0.01887,0.000179,0.484076,0.01887,0
0.008005,-0.003907,0.486538,0.008005,0
0.010648,-0.001148,0.48043,0.010648,0
0.010574,0.00655,0.480500,0.010574,0
0.00983,0.003700,0.450061,0.00983,0
0.000490,0.003758,0.441713,0.000490,0
0.003073,-0.007690,0.390903,0.003073,0
0.010536,-0.010900,0.380001,0.010536,0
0.010047,-0.010459,0.387503,0.010047,0
0.01790,-0.031091,0.390673,0.01790,0
0.010071,-0.017584,0.394619,0.010071,0
0.003761,-0.011045,0.40141,0.003761,0
0.008776,-0.015918,0.404791,0.008776,0
0.005794,-0.013695,0.411575,0.005794,0
0.000061,-0.011949,0.415010,0.000061,0
0.006654,-0.01065,0.418576,0.006654,0
0.00509,-0.001587,0.447114,0.00509,0
0.000376,-0.006140,0.457056,0.000376,0
0.003934,-0.001530,0.471058,0.003934,0
0.006113,0.006598,0.497335,0.006113,0
0.000067,0.007147,0.501766,0.000067,0
0.009879,0.007648,0.505044,0.009879,0
0.013387,0.000516,0.511604,0.013387,0
0.01190,-0.008807,0.533407,0.01190,0
0.006940,-0.000950,0.51819,0.006940,0
0.006530,-0.003710,0.509898,0.006530,0
0.003911,-0.005067,0.509538,0.003911,0
0.000376,-0.008033,0.507079,0.000376,0
0.000977,-0.004885,0.501888,0.000977,0
0.000917,-0.000947,0.499480,0.000917,0
0.001889,-0.009903,0.485910,0.001889,0
0.007846,-0.015580,0.457931,0.007846,0
0.007005,-0.017439,0.450355,0.007005,0
0.009006,-0.018776,0.443363,0.009006,0
0.007407,-0.017985,0.436041,0.007407,0
0.008335,-0.016997,0.417649,0.008335,0
0.008015,-0.01355,0.411509,0.008015,0
0.008813,-0.010667,0.408303,0.008813,0
0.009413,-0.010416,0.407711,0.009413,0
0.003603,-0.009700,0.408990,0.003603,0
0.007693,-0.010015,0.410103,0.007693,0
0.010409,-0.014778,0.410079,0.010409,0
0.010498,-0.015069,0.411607,0.010498,0
0.00940,-0.01339,0.416364,0.00940,0
0.008643,-0.011441,0.418774,0.008643,0
0.004774,-0.011687,0.419959,0.004774,0
0.000594,-0.015489,0.419408,0.000594,0
0.001746,-0.017309,0.430600,0.001746,0
0.000900,-0.011306,0.430306,0.000900,0
0.001504,-0.009583,0.417589,0.001504,0
0.003096,-0.006759,0.416554,0.003096,0
0.034996,-0.016885,0.448068,0.034996,1
0.037905,-0.013040,0.45034,0.037905,1
0.040173,-0.010304,0.448358,0.040173,1
0.04739,-0.016096,0.446111,0.04739,1
0.050916,-0.016503,0.444136,0.050916,1
0.060464,-0.017413,0.444001,0.060464,1
0.060001,-0.016619,0.450763,0.060001,1
0.047041,-0.010355,0.449671,0.047041,1
0.039905,-0.007375,0.450447,0.039905,1
0.056737,-0.015859,0.44089,0.056737,1
0.04608,-0.015703,0.450706,0.04608,1
0.040968,-0.008376,0.44904,0.040968,1
0.035043,-0.006846,0.461570,0.035043,1
0.031375,0.000877,0.510944,0.031375,1

